User,Rating,Review,Likes,Date
Brandon Wells,1,"6 years after switching to Amazon music, I couldn't be happier. There were features I loved in Spotify, they had a slightly deeper library in a couple obscure genres, and I miss the playlists I spent countless hours curating, but after you get used to the Amazon Music interface, it's a better value at $69.99/yr annual subscription. Spotify is charging you WAY more than their service is worth. If they ever offer annual subscription discounts, I'll switch back, but not likely.",981,2026-06-29 09:03:58
siddharth mhatre,5,Time to look for another music player,0,2026-06-29 09:03:04
मधु मधु,5,very nice,0,2026-06-29 09:01:16
Ekiomado Idemudia,2,I just renewed my Spotify premium plan I was debited but my Spotify account has not been updated. it's still showing that I'm using the free account,0,2026-06-29 08:57:10
prabhsandhu Sandhu,5,amazing👍,0,2026-06-29 08:52:48
Aqilwafiy,5,Good,0,2026-06-29 08:47:27
syafiqah jamil,5,"I always used Spotify, furthermore in the car, the shuffle really knew my music taste",0,2026-06-29 08:46:25
Malik Riaz Hussain,5,it is best you can listen musics with wireless headphones and you can also can make your own playlists 🥰,0,2026-06-29 08:46:01
Aidan King,1,"Doesn't open. When I do try to open, it give me a refresh button that does absolutely nothing. And when I go to my library, that does load contrary to the home or other pages, it won't let me go to listen to anything, occasionally saying I'm offline with full bars of WiFi. Don't release an update if it bricks your app. Would rate zero stars if I could",1,2026-06-29 08:42:10
vijay Sonone,5,good app,0,2026-06-29 08:35:26
Anastasia Garza,5,love this app,0,2026-06-29 08:34:51
iam Ganguly,4,recommended,0,2026-06-29 08:33:26
Scott Organ,5,Great choices / easy to use to find a song or atist/ able to put together my own Playlist no matter what type of music,0,2026-06-29 08:28:36
Brandon C.,2,I don't like that they took away the Spotify gift cards as an option to pay. I like premium but I really liked the option to not have my credit/debit card tied to the account. I probably will not buy premium for this reason. This was a big selling point for me.,1,2026-06-29 08:26:26
V k Venugopal,5,please give more flexibility for free users,0,2026-06-29 08:25:19
Aleyna Alvarado,3,TOO MUCH DANG ADS AND I FO NOT WANT TO PAY MONEY at least give us 1 AD not FREAKING 4 OR 3 the only good thing was listening to the music but that also got ruined by THE ADS god dang please LET ME LISTEN TO MY MUSIC IN PEACE even listening to music on tiktok is better than this *cough cough* sorry had to take my anger out,0,2026-06-29 08:25:09
Mpolokeng Letsebela,5,"I am enjoying this app so so much, and I love the music a lot there's no song I looked for and couldn't find",0,2026-06-29 08:24:32
Paras Gadekar,5,all are best😊✅ but addsssss🤬,0,2026-06-29 08:24:13
Malou,3,I love this app but subscription fee is a bit expensive.,0,2026-06-29 08:21:33
Timothy Cullen,1,Your new widget is absolute rubbish and doesnt work. Good job whoever decided to replace the working one with something broken 👏,0,2026-06-29 08:20:18
Joshua R Joseph,1,I got back on to block family and friends.,0,2026-06-29 08:19:51
Frozen vr,5,"did you say Daniel? happy birthday Daniel! I know the kind of power you vibe with, the kind that keeps climbing no matter what. so here's your gift. a profile picture wrapped in that same aura. use it where every you go, and if the stairs keep climbing we never stop!",0,2026-06-29 08:18:38
Layla,3,too many ads and Spotify is overall money hungry. I can't even use certain features because of the need for premium.,0,2026-06-29 08:18:17
IBU WIJEDASA,3,too many & too long of advertisement during listening to the songs...,0,2026-06-29 08:17:12
Binder Singh,5,very nice,0,2026-06-29 08:16:32
CAPOTLE u,5,solid,0,2026-06-29 08:16:31
Neev Legend,1,worst app....gold digger,0,2026-06-29 08:14:43
Mya W,1,i hate the setup after the new update,0,2026-06-29 08:11:50
Jacob,5,"Use this app about 4 hours a day, the best if you have the membership.",0,2026-06-29 08:10:50
Zion Morgan (fresh_indigo_69),5,I would recommend the ad free addition cause it's so peaceful but only if you listen to most all the time!,0,2026-06-29 08:10:24
Shobha Negi,5,LOVEEEEEEEEEEEEEEEEEEEE IT🤌❤️✨💘😝💯🔥,0,2026-06-29 08:09:41
Gajraj Singh,5,fantastic,0,2026-06-29 08:03:09
Subathra Arumugam,5,my life changer list are available thats so crazy about my lovely partner none other than spotify💖,0,2026-06-29 08:02:57
Daniel Smith (Styles),5,I love spotify,0,2026-06-29 08:02:43
Santhanam Verralakshmi,2,soo many ads make me feel quit listening to music,0,2026-06-29 07:59:11
Dipika Ovhal,5,veri good 👍 👌,0,2026-06-29 07:53:45
Anbazhagan Amizhdan,1,Spotify app isn't showing streaming devices connected through LAN. Not showing all the devices in the list. Spotify pls solve this issue.,0,2026-06-29 07:51:47
Jade,5,great,0,2026-06-29 07:50:12
Natasha Ross,5,"Spotify is amazing, well worth the payments for premium with NO ADS!! I listen to true crime podcasts and music mixes every single day.",0,2026-06-29 07:48:57
Dolores Gonzalez,5,Enjoying right now. Have to see after I have it for a minute. I have had Spotify for almost 5 years and it's great!,0,2026-06-29 07:45:47
Nathaly Orellana,5,it is for FREE like I LOVE IT,0,2026-06-29 07:44:38
Dakota L,1,"please fix the damn app. has worked fine for years and now it refuses to open after I've cleared the cache, my site data and reset my account. FIX IT",0,2026-06-29 07:42:27
Rowena Castillo,5,excellent,0,2026-06-29 07:40:57
Aasma Shezadi,4,plz no ads,1,2026-06-29 07:40:43
Gaming /\/ / /\/ _/ /-\,5,"nothing beats it, all my music and easy to connect to other systems that have Spotify signed in while operating off another device",0,2026-06-29 07:39:19
Dan Townley,5,every song I wanted it was There now I can't go without it .I go through my cd's and I only have 1100 and still haven't got what I'm looking for but on Spotify any song any time . Thankyou Spotify.,0,2026-06-29 07:35:21
Roderick N,5,Best Application For Canada,0,2026-06-29 07:35:06
Ryan Graddy,1,"spotify actually used to be good, I even paid for premium, and it doesn't even work.",0,2026-06-29 07:33:30
Krishan Kumar Saini,1,bhai kya ho gya app ko... song break ho rhe h.. video support nhi krti to q lga rkha h songs ke sath.. without video song jyada better h.. nhi chie video.. youtube pe dekh lenge.. but jo audio app h usko audio app hi rkho... hang ho rhe h sare song or fon b.. 👎👎👎,0,2026-06-29 07:33:20
Harriet Balgos,5,awesome,0,2026-06-29 07:29:13
Dum Gav,5,it's asome,0,2026-06-29 07:28:21
pat mcintyre,1,Not happy at all.. Won't play on my phone now for some reason and I have premium 😅 so going to look for something else... Goodby spotify😴 !,0,2026-06-29 07:26:39
Vipin Rathore,4,Best,0,2026-06-29 07:23:36
caden roehrig,5,good,0,2026-06-29 07:12:28
Ashok Neye,5,I love this but don't give any other feature to premium so I that hate,0,2026-06-29 07:11:45
Poonam Sharma,5,one of the fav apps,0,2026-06-29 07:10:58
Yashvardhan,5,Very good overall.,0,2026-06-29 07:08:44
Steve Weekes,5,great listening to the songs I love,0,2026-06-29 07:06:05
Gail Morrish,5,big music choice. always find what I'm looking for. never disappointed.,0,2026-06-29 07:03:23
sunny tarkar,5,loving it,0,2026-06-29 07:02:06
Russell Harrison,2,"Thank you for bricking the old widget, which worked perfectly fine, in an effort to force me to replace it with a new widget that is practically identical except it doesn't work 75% of the time. Back when Spotify was much cheaper and primarily designed for listening to music, I always found myself wishing it would be redesigned every other month for no apparent reason other than to increasingly focus on force-feeding me AI slop.",0,2026-06-29 07:01:48
carling,5,awesome sauce,0,2026-06-29 06:58:21
HP TIGERS,1,lame app can listen lil music btw the advertisement,0,2026-06-29 06:53:33
